LR,Sparsity,SmallGrad,MetricQ,AutoCorr,NormSPS,CPBD,DarkChannel,Saturation,Contrast,SimpleRinging,PyrRing,PercRing,HumanBT
0.6647,0.038179,0.0010405,-8.5716,6.5702,0.79506,-0.30698,0.67979,0,19982,0,0,0,-4.9518
0.5662,0.083931,0.0020787,-18.112,5.1318,0.74058,-0.25174,0.57557,0.0002537,56539,-0.048699,0.00084389,4.3708,0.49655
0.57872,0.069715,0.0016709,-14.497,4.1109,0.7163,-0.30915,0.5891,0.000098148,47078,-0.075575,0.00058421,4.6404,2.532
0.59744,0.069266,0.0016977,-13.616,4.5478,0.72857,-0.31283,0.60807,0.00016852,44872,-0.01705,0.000091875,3.618,-0.68389
0.57073,0.074893,0.001753,-18.447,4.6194,0.69625,-0.24117,0.58047,0.00024444,58181,-0.050786,0.00060853,4.4045,1.4984
0.58118,0.070737,0.0017692,-15.326,4.3882,0.73297,-0.28132,0.59115,0.00022685,44706,-0.058175,0.00046441,4.6629,-0.059839
0.56732,0.088253,0.0024512,-9.6044,2.8845,0.80246,-0.62365,0.57827,0.00015833,42635,0.11711,0.00019136,3.8764,-1.7683
0.59155,0.067151,0.0016108,-13.932,4.3222,0.71739,-0.32034,0.60243,0.000077778,44430,-0.048921,0.00039465,4.2247,0.71619
0.58857,0.066358,0.0015985,-14.324,4.4383,0.71055,-0.30665,0.59939,0.0001,44995,-0.095569,0.00034059,4.2921,1.5738
0.59219,0.065702,0.0016332,-14.387,4.5048,0.73307,-0.29437,0.60293,0.00013796,40979,-0.047241,0.000053029,4.4382,-2.8886
0.55206,0.071591,0.001677,-17.179,4.504,0.71028,-0.28395,0.56154,0.00010648,50326,-0.14833,0.0018596,5.6742,2.6121
0.60814,0.057821,0.0014404,-12.59,4.3958,0.72789,-0.32263,0.62009,0.00002963,35196,-0.055087,0.000041423,3.2022,-2.277
0.53474,0.088195,0.0019556,-22.888,4.5582,0.67385,-0.24787,0.54325,0.00071204,84549,-0.11601,0.0053523,5.7303,2.9852
0.51202,0.11866,0.002741,-33.533,5.6657,0.68558,-0.13295,0.51798,0.0072241,134600,-0.11238,0.0053648,4.7528,0.21515
0.74759,0.020558,0.00042594,-11.586,6.3439,0.62017,-0.22045,0.76336,0.00057853,18965,0,0,0,-1.7244
0.73767,0.028243,0.00095168,-12.572,4.947,0.60144,-0.14718,0.75152,0.002169,25350,0.055651,0.0000876,18.73,-1.0504
0.72598,0.03368,0.0010068,-18.334,3.7655,0.55209,-0.14945,0.7388,0.0021178,40956,0.028579,0.00027505,10.649,1.2888
0.72461,0.03343,0.0010169,-16.895,4.0122,0.567,-0.14762,0.7372,0.002358,37129,0.043898,0.00037525,10.838,1.5715
0.70594,0.041799,0.0010648,-22.905,4.4096,0.55987,-0.11532,0.71537,0.014837,55067,0.071667,0.00046674,3.5135,-0.48235
0.71281,0.037954,0.00098284,-18.642,5.1554,0.57289,-0.059276,0.72355,0.0098778,42399,-0.044393,0.00071223,13.027,0.27015
0.69961,0.046376,0.0012779,-18.955,2.7791,0.65907,-0.56071,0.71159,0.0039307,38407,0.2641,0.000077324,17.838,-1.1448
0.72547,0.032909,0.0010179,-17.087,3.8266,0.56418,-0.14839,0.73847,0.0018776,37081,0.059858,0.0003815,17.081,1.4297
0.72815,0.031225,0.0010016,-15.973,4.1263,0.56514,-0.1282,0.74133,0.001887,34161,0.02877,0.00032304,9.4324,0.82664
0.7139,0.035972,0.0010049,-19.389,5.1367,0.57877,-0.07593,0.72464,0.0097264,39871,0.073624,0.00028641,3,-0.6078
0.72776,0.033195,0.00097695,-17.925,4.5759,0.54233,-0.097043,0.74047,0.002642,41955,0.057181,0.00040677,13.838,-0.72671
0.72155,0.033181,0.0010119,-17.022,4.1961,0.56923,-0.12238,0.73402,0.0030535,36277,0.041502,0.00032752,5.7027,0.68934
0.71198,0.039409,0.0010186,-21.209,5.0198,0.5172,-0.085517,0.72276,0.0091896,62336,0.041873,0.0016944,7.7027,0.20589
0.72191,0.035659,0.0010404,-18.208,4.2067,0.57375,-0.14747,0.73376,0.0049039,39180,0.10042,0.00043538,6.3784,-0.54561
0.4595,0.046022,0.0013759,-21.288,5.3433,0.68684,-0.48755,0.5495,0.038319,11344,0,0,0,-2.5654
0.56504,0.093742,0.0021242,-37.728,3.6389,0.64879,-0.49171,0.60983,0.048359,43048,0.059661,0.0027274,4.5714,-0.62402
0.54321,0.087791,0.0018248,-38.39,2.4399,0.60289,-0.52692,0.59414,0.051817,49130,0.027756,0.0021541,2.4714,2.6459
0.53903,0.096477,0.0019769,-43.778,2.7782,0.59525,-0.45256,0.5863,0.060356,60050,0.041963,0.0030063,2.4286,2.9175
